"","suburb","state","blurb"
"1186","Wahring","VIC","Wahring is a locality in northern Victoria, Australia. The locality is in the Shire of Strathbogie local government area, 149 kilometres (93 mi) north east of the state capital, Melbourne."
"1187","Burnside Heights","VIC","Burnside Heights is a suburb of Melbourne, Victoria, Australia, 22 km north-west of Melbourne's Central Business District, located within the City of Melton local government area. Burnside Heights recorded a population of 6,072 at the 2016 Census."
"1188","Buckley","VIC","Buckley is a rural locality in the Surf Coast Shire, Victoria, Australia.[2] It was formerly known as Laketown.[3] In the 2016 census, Buckley had a population of 211 people.[1]"
"1189","Darnum","VIC","Darnum is a small town in West Gippsland, Victoria, Australia, located 110 km east of Melbourne and short distance to Warragul, in the Shire of Baw Baw. It is nestled between the Great Dividing Range and Strzlecki Ranges. The Moe River meanders through the edge of the township of which the historic Darnum Butter Factory overlooks. In the 2006 census the town and surrounding area had a population of 598.[1] It is home to many professionals working in th region looking for value and a tree change."
"1190","Lexton","VIC","Lexton is a town in western Victoria, Australia, in the Shire of Pyrenees local government area. It is on the Sunraysia Highway, 161 kilometres (100 mi) north west of the state capital Melbourne. At the 2006 census, Lexton and the surrounding area had a population of 149.[1]"
"1191","Montrose","VIC","Montrose is a suburb in Melbourne, Victoria, Australia, 33 km east of Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2011 census, Montrose had a population of 6,732.[1] Montrose varies in altitude, from about 91m to 324m above sea level. Montrose covers an area of about 1084 hectares or around 11 square kilometres (km2) (2680 acres)[2]"
"1192","Locksley","VIC","Locksley is a town in northern Victoria, Australia. The town is located on the Longwood - Avanel Road (former Hume Highway in the Shire of Strathbogie local government area, 152 kilometres (94 mi) from the state capital, Melbourne). Locksley and the surrounding area have a population of about 22. The town was originally called Burnt Creek and takes its name from Tennyson's Poem 'Locksley Hall'.[1]"
"1193","Franklinford","VIC","Franklinford is a small community in the Central Highlands of Victoria, Australia, located in the Shire of Hepburn. It was the site chosen by Edward Stone Parker to build the Loddon Aboriginal Protectorate station at Franklinford in January 1841 which was an important focus of the Dja Dja Wurrung people from 1841 until they were forcible resettled in 1864.[2] It is located on the Midland Highway."
"1194","Lower Plenty","VIC","Lower Plenty is a suburb of Melbourne, Victoria, Australia, 16 km north-east from Melbourne's Central Business District. Its local government area is the City of Banyule. At the 2016 Census, Lower Plenty had a population of 3,891."
"1195","Flowerdale","VIC","Flowerdale is a town in Victoria, Australia. It is in the Shire of Murrindindi local government area, 95 kilometres (59 mi) from the state capital, Melbourne and in the foothills of the Great Dividing Range, in the upper catchment of the Goulburn River system. At the 2011 Census, Flowerdale had a population of 429.[1]"
"1196","Avonsleigh","VIC","Avonsleigh is a town in Victoria, Australia, 47 km east of Melbourne's central business district. Its local government area is the Shire of Cardinia. At the 2016 Census, Avonsleigh had a population of 852."
"1197","Kealba","VIC","Kealba is a suburb of Melbourne, Victoria, Australia, 16 km north-west from Melbourne's Central Business District, located within the City of Brimbank local government area. Kealba recorded a population of 3,194 at the 2016 Census."
"1198","Mount Evelyn","VIC","Mount Evelyn is a suburb in Melbourne, Victoria, Australia, 37 km north-east of Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2011 Census, Mount Evelyn had a population of 9,374 with an exact split of males and females."
"1199","Clifton Springs","VIC","Clifton Springs is a coastal town located on the Bellarine Peninsula, near Geelong, Victoria, Australia."
"1200","Bearii","VIC","Bearii (/ˈbɪəraɪ/ BEER-eye) is a small settlement in Victoria, Australia. The town is in the Shire of Moira local government area. Bearii is located 252 kilometres (157 mi) north of the state capital, Melbourne, 18 kilometres (11 mi) north of Waaia and is just south of the Barmah National Park. At the 2011 census, Bearii had a population of 136.[1]"
"1201","Johnsonville","VIC","Johnsonville is a town in the East Gippsland region of Victoria, Australia. It is located on the Princes Highway 18.9 km east from the city of Bairnsdale and 18.3 km west from the tourist resort and fishing port of Lakes Entrance. The town encompasses an area of approximately 5,617 hectares, 56 square kilometres or 13,879 acres."
"1202","Lake Bolac","VIC","Lake Bolac is a town in the Western District region of Victoria, Australia, in the Rural City of Ararat, 91 kilometres (57 mi) west of Ballarat.[2] At the 2016 census, Lake Bolac and the surrounding area had a population of 330.[1] The town is on the shores of Lake Bolac, a freshwater lake popular with anglers. The Glenelg Highway passes through the town. Lake Bolac Post Office opened on 1 November 1864.[3]"
"1203","Rheola","VIC","Rheola is a locality in central Victoria, Australia. At the 2011 census, Rheola and the surrounding area had a population of 316.[1] Originally called the 'Berlin Rush' or 'Berlin field' after gold nuggets were found. It is part of Victoria's 'Golden Triangle,'[2] which contains some of the world's richest gold fields. Some of the gold nuggets found in these fields include the Welcome Stranger, Hand of Faith, and the Blanche Barkly. The Viscount Canterbury, Viscountess Canterbury and Precious were all found in the gold field at Rheola.[3]"
"1204","Flagstaff","VIC","Flagstaff is a district in Victoria, Australia, site of a former settlement, located on the Pyrenees Highway east of Maryborough in the Shire of Central Goldfields. 218 metres above sea level, the area is naturally characterised by Box-Ironbark forest. Remnants of aboriginal settlement include rock wells and aboriginal sculptures."
"1205","Enfield","VIC","Enfield is a rural locality in Victoria, Australia. The locality is in the Golden Plains Shire, near the regional city of Ballarat and 149 kilometres (93 mi) west of the state capital, Melbourne. At the 2016 census, Enfield and the surrounding area had a population of 538.[1]"
"1206","Katandra West","VIC","Katandra West is a small town in Victoria, Australia. It is located in the City of Greater Shepparton. At the 2016 census, Katandra West had a population of 476.[1]"
"1207","Bonegilla","VIC","Bonegilla is a bounded rural locality of the City of Wodonga local government area in north-east Victoria, Australia, 10 kilometres (6.2 mi) east of Wodonga, and around 300 kilometres (190 mi) north-east of Melbourne. In the 2011 census, Bonegilla and surrounding area had a population of 294.[1]"
"1208","Katandra","VIC","Katandra is a small town in Victoria, Australia. It is located in the City of Greater Shepparton."
"1209","Cabarita","VIC","Cabarita is a locality in Victoria, Australia, located approximately 10 km from Mildura, Victoria. At the 2006 census, Cabarita had a population of 280.[1]"
"1210","Grey River","VIC","Grey River is a rural locality in the Shire of Colac Otway, Victoria, Australia.[1] It lies on the Great Ocean Road at the mouth of the Grey River, from which it derives its name."
"1211","Newcomb","VIC","Newcomb is a residential suburb of Geelong, Victoria, Australia. At the 2016 census, Newcomb had a population of 4,500.[1]"
"1212","Silvan","VIC","Silvan is a town in Victoria, Australia, 40 km east of Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2006 Census, Silvan had a population of 1908."
"1213","Panmure","VIC","Panmure /pənˈmjuːə/ is a small town in the south west of Victoria, Australia. At the 2006 census, Panmure and the surrounding area had a population of 421.[1]"
"1214","Belgrave South","VIC","Belgrave South is a locality within, and a suburb of, Greater Melbourne mainly beyond the Melbourne metropolitan area Urban Growth Boundary,[2] 39 km south-east from Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2016 census, Belgrave South had a population of 1,645.[1] It is positioned at the foothills of the Dandenong Ranges and bordered by the suburbs of Belgrave, Belgrave Heights, Lysterfield and the localities of Narre Warren East and Selby."
"1215","Whittington","VIC","Whittington is a residential suburb of Geelong, Victoria, Australia, located 4 km south-east of the city centre. It is bordered by Boundary, Townsend and Coppards roads and by the former Geelong to Queenscliff railway line now known as the Bellarine Rail Trail.[2] At the 2016 census, Whittington had a population of 3,879.[1]"
"1216","Culgoa","VIC","Culgoa is a town in the Mallee region in the north west of the Australian state of Victoria. The town is approximately 319 kilometres (198 mi) from the state capital, Melbourne. At the 2011 census, Culgoa had a population of 339.[1]"
"1217","Waterways","VIC","Waterways is a residential suburb located in Melbourne's south approximately 25km south of the Melbourne CBD. Originally a housing development, it is just east of Mordialloc. It is Australia's only suburb that's 20% parkland and 40% water. Over 46 hectares of wildlife sanctuary were artificially created in and around the swampy marshlands of Mordialloc Creek."
"1218","Pascoe Vale South","VIC","Pascoe Vale South is a suburb of Melbourne, Victoria, Australia, 9 km north of Melbourne's central business district. Its local government area is the City of Moreland. At the 2016 Census, Pascoe Vale South had a population of 10,069."
"1219","Diggers Rest","VIC","Diggers Rest (formerly Diggers' Rest) is a suburb of Melbourne, Victoria, Australia, 33 km (21 mi) north-west from Melbourne's Central Business District. Its local government areas are the Cities of Hume and Melton. At the 2016 Census, Diggers Rest had a population of 2,763."
"1220","Kongwak","VIC","Kongwak is a small town in Victoria, Australia. It is located on the Korumburra to Wonthaggi Road southeast of Melbourne, in the South Gippsland Shire At the 2006 census, Kongwak had a population of 193."
"1221","Dederang","VIC","Dederang is a town in north east Victoria. The town is located on the Kiewa Valley Highway, in the Alpine Shire Local government in Australia, 329 kilometres from the state capital, Melbourne. Dederang is located in the Kiewa River valley. At the 2006 census, Dederang and the surrounding area had a population of 422.[1]"
"1222","Blind Bight","VIC","Blind Bight is a town in Victoria, Australia, 55 km south-east from Melbourne's central business district on the large bay of Western Port. Its local government area is the City of Casey. At the 2006 Census, Blind Bight had a population of 1,238.[2]"
"1223","Ebden","VIC","Ebden is a locality in north east Victoria, Australia. The locality is in the City of Wodonga local government area, 337 kilometres (209 mi) north east of the state capital, Melbourne."
"1224","Bellfield","VIC","Bellfield is a suburb of Melbourne, Victoria, Australia, 9 km north-east from Melbourne's Central Business District. Its local government area is the City of Banyule. At the 2016 Census, Bellfield had a population of 1,793."
"1225","Scoresby","VIC","Scoresby is a suburb of Melbourne, Victoria, Australia, 29 km east of Melbourne's Central Business District, located within the City of Knox local government area. Scoresby recorded a population of 6,022 at the 2016 Census."
"1226","Delahey","VIC","Delahey is a suburb of Melbourne, Victoria, Australia, 20 kilometres (12 mi) north-west of Melbourne's Central Business District, located within the City of Brimbank local government area. Delahey recorded a population of 8,339 at the 2016 Census."
"1227","Dingley Village","VIC","Dingley Village is a suburb in Melbourne, Victoria, Australia, 22 km south-east from Melbourne's central business district. Its local government area is the City of Kingston. At the 2016 census, Dingley Village had a population of 10,320.[1]"
"1228","Kilmore East","VIC","Kilmore East is a locality in the Australian state of Victoria, 90 kilometres north of Melbourne. At the 2011 census, Kilmore East had a population of 353.[1]"
"1229","The Basin","VIC","The Basin is a suburb of Melbourne, Victoria, Australia, 31 km east of Melbourne's Central Business District, located within the City of Knox local government area. The Basin recorded a population of 4,416 at the 2016 Census."
"1230","Sassafras","VIC","Sassafras is a locality and township within Greater Melbourne, beyond the Melbourne metropolitan area Urban Growth Boundary,[2] 43 km east of Melbourne's Central Business District, located within the City of Knox and Shire of Yarra Ranges local government areas. Sassafras recorded a population of 1,061 at the 2016 Census."
"1231","Scarsdale","VIC","Scarsdale is a small town in rural Victoria, Australia, and approximately 25km south west of Ballarat, with a few community facilities including a primary school and a kindergarten. It is situated in the north-western part of Golden Plains Shire, and is primarily an agricultural community."
"1232","Clematis","VIC","Clematis is a suburb in Melbourne, Victoria, Australia, 42 km south-east from Melbourne's central business district. Its local government area is the Shire of Cardinia. At the 2016 Census, Clematis had a population of 350.[1]"
"1233","Noble Park North","VIC","Noble Park North is a suburb in Melbourne, Victoria, Australia, 26 km south-east of Melbourne's central business district. Its local government area is the City of Greater Dandenong. At the 2016 census, Noble Park North had a population of 7,468.[1]"
"1234","Merbein West","VIC","Merbein West is a locality in the Rural City of Mildura, Victoria, Australia. Merbein West post office opened on 1 July 1919 and was closed on the 30 June 1971. [1]"
"1235","Tullamarine","VIC","Tullamarine is a suburb of Melbourne, Victoria, Australia, 17 km north-west of Melbourne's central business district. It is split between three local government areas—the cities of Brimbank, Hume and Moreland. At the 2016 census, Tullamarine had a population of 6,605."
"1236","Kinglake West","VIC","Kinglake West is a town in central Victoria, Australia. The town is located 56 kilometres (35 mi) north-east of the state capital, Melbourne. Its local government area is the City of Whittlesea and the Shires of Murrindindi and Nillumbik. At the 2016 Census, Kinglake West had a population of 1,166."
"1237","Porepunkah","VIC","Porepunkah is a town in northeast Victoria, Australia on the Great Alpine Road, at the foot of Mount Buffalo 320 kilometres (199 mi) northeast of the state capital, Melbourne and 5 kilometres (3 mi) northwest of Bright. It is part of Alpine Shire local government area and on the banks of the Ovens River, near the Buckland River junction. At the 2011 census, Porepunkah had a population of 953.[1] The town is named for the Hindi word for ""gentle breeze""."
"1238","Belgrave","VIC","Belgrave is a suburb in Melbourne, Victoria, Australia, 35 km east of Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2016 Census, Belgrave had a population of 3,929.[1]"
"1239","Croydon Hills","VIC","Croydon Hills is a suburb of Melbourne, Victoria, Australia, 31 km north-east of Melbourne's Central Business District. Its local government area is the City of Maroondah. At the 2011 Census, Croydon Hills had a population of 5,185."
"1240","Skipton","VIC","Skipton /ˈskɪptən/ is a town in the Western District of Victoria, Australia. The town is situated on the Glenelg Highway 166 kilometres west of the state capital, Melbourne and 52 kilometres south west of the regional centre, Ballarat. Part of the Shire of Corangamite LGA, Skipton is on the banks of Mount Emu Creek and at the 2011 census had a population of 927, including surrounding areas.[1] The locality of Skipton had 460 residents at the 2001 census.[2]"
"1241","Parwan","VIC","Parwan is a town in Victoria, Australia, 45 km west of Melbourne's Central Business District. Predominantly Parwan lies within the local government area (LGA) of the Shire of Moorabool, but some of Parwan lies within the LGA of the City of Melton. Parwan recorded a population of 170 at the 2016 Census."
"1242","Walhalla","VIC","Walhalla is a small town in Victoria, Australia, founded as a gold-mining community in late 1862 and at its peak home to around 4,000 residents.[2] Today, the town has a population of 20 permanent residents [2016 Census], though it has a large proportion of houses owned as holiday properties.[1] It attracts large numbers of tourists and is a major focus of the regional tourism industry.[3] The town's name is taken from an early gold mine in the area, named for the German hall of fame, the Walhalla temple (Valhalla from Norse legend).[1]"
"1243","Seville East","VIC","Seville East is a town in Victoria, Australia, 46 km north-east of Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2011 census, Seville East had a population of 833.[1]"
"1244","Dallas","VIC","Dallas is a suburb of Melbourne, Victoria, Australia, 18 km north of Melbourne's central business district. Its local government area is the City of Hume."
"1245","Warrandyte","VIC","Warrandyte is a suburb of Melbourne, Victoria, Australia, 24 km north-east of Melbourne's Central Business District. Its local government area is the City of Manningham. At the 2011 census, Warrandyte had a population of 5,520."
"1246","Belgrave Heights","VIC","Belgrave Heights is a town in Melbourne, Victoria, Australia, 38 km south-east from Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2016 census, Belgrave Heights had a population of 1,360.[1]"
"1247","Menzies Creek","VIC","Menzies Creek is a township in Melbourne, Victoria, Australia, 42 km south-east of Melbourne's Central Business District, located within the Shires of Cardinia and Yarra Ranges local government areas. Menzies Creek recorded a population of 998 at the 2016 Census."
"1248","Toolamba","VIC","Toolamba /tuːˈlæmbə/ is a town in the Goulburn Valley region of Victoria, Australia. It is in the City of Greater Shepparton local government area, 181 kilometres (112 mi) north of the state capital, Melbourne. At the 2006 census, Toolamba and the surrounding area had a population of 873.[1]"
"1249","Cardinia","VIC","Cardinia is a town in Victoria, Australia, 52 km south-east of Melbourne's Central Business District, located within the Shire of Cardinia local government area. Cardinia recorded a population of 376 at the 2016 Census."
"1250","Keilor North","VIC","Keilor North is a suburb 24 km north-west of Melbourne, Victoria, Australia, located with the City of Brimbank local government area. Keilor North recorded a population of 67 at the 2016 Census. It is identified as one of Melbourne's areas of natural significance. Its close proximity to the Organ Pipes National Park along with its environs overlay, known as the Green Wedge, means that many threatened and rare grass species are found in the area.[2]"
"1251","Lysterfield South","VIC","Lysterfield South is a rural locality in Melbourne, Victoria, Australia, 30 km south-east of Melbourne's central business district, and adjacent to the main urban area. Its local government area is the City of Casey. At the 2016 Census, Lysterfield South had a population of 957.[1]"
"1252","Eaglemont","VIC","Eaglemont is an established suburb of Melbourne, Victoria, Australia, 10 km north-east of Melbourne's Central Business District. Its local government area is the City of Banyule. At the 2016 Census, Eaglemont had a population of 3,873."
"1253","Seddon","VIC","Seddon is an inner-suburb 6 km west of Melbourne, Victoria, Australia, lying south of Footscray and north of Yarraville. Its local government area is the City of Maribyrnong. At the 2011 Census, Seddon had a population of 4,851."
"1254","Cockatoo","VIC","Cockatoo is a town in Victoria, Australia, 48 km south-east of Melbourne's Central Business District, located within the Shire of Cardinia local government area. Cockatoo recorded a population of 4,256 at the 2016 Census."
"1255","Scotsburn","VIC","Scotsburn is a town in Victoria, Australia. The town is approximately 16 kilometres (9.9 mi) from Ballarat on the Midland Highway toward Geelong. Its local government area is the Shire of Moorabool and the City of Ballarat."
"1256","Nerrina","VIC","Nerrina is a suburb of Ballarat, Victoria, Australia on the north-eastern rural-urban fringe of the city, 4 kilometres (2.5 mi) east of the Central Business District. The population at the 2016 census was 962.[1]"
"1257","Wildwood","VIC","Wildwood is a rural locality in Victoria, Australia, 30 km north-west of Melbourne's central business district. Its local government area is the City of Hume. At the 2016 census, Wildwood had a population of 216."
"1258","Jacana","VIC","Jacana is a suburb of Melbourne, Victoria, Australia, 16 km north from Melbourne's central business district. Its local government area is the City of Hume. At the 2016 Census, Jacana had a population of 2,128."
"1259","Arthurs Creek","VIC","Arthurs Creek is a town in Victoria, Australia, 33 kilometres north-east of Melbourne's Central Business District. Its local government area is the Shire of Nillumbik. At the 2016 census, Arthurs Creek had a population of 496."
"1260","Raywood","VIC","Raywood is a town in northern Victoria, Australia. The town is located in the City of Greater Bendigo, 185 kilometres (115 mi) north of the state capital, Melbourne. At the 2011 census, Raywood had a population of 328.[1]"
"1261","Tatong","VIC","Tatong is a town in north eastern Victoria, Australia. The town is on the northern foothills of the Blue Ranges, part of the Great Dividing Range, beside Holland Creek, 226 kilometres (140 mi) north east of the state capital, Melbourne. At the 2011 census, Tatong had a population of 350.[1]"
"1262","Steels Creek","VIC","Steels Creek is a town in Victoria, Australia, 45 km north-east of Melbourne's central business district, 7 km north of Yarra Glen. Its local government area is the Shire of Yarra Ranges. At the 2011 census, Steels Creek had a population of 199.[2]"
"1263","Glenthompson","VIC","Glenthompson is a town in the Australian state of Victoria. It lies on the Glenelg Highway between Hamilton and Ballarat, close to the Grampian mountain range. At the 2016 census, Glenthompson and the surrounding area had a population of 232.[1]"
"1264","Cremorne","VIC","Cremorne is a small inner suburb of Melbourne, 2 km south-east of the CBD. Its local government area is the City of Yarra and at the 2011 Census it had a population of 1,564. It is bounded by the Yarra River, Punt Road, Swan and Church Streets, and divided down the middle by the railway to South Yarra. Covering only about a square kilometre, until 1999 Cremorne existed only as a locality in the larger suburb of Richmond. Cremorne's charm is in its rather chaotic mix of uses and the unique character resulting from being 'walled in' by main roads and railways on all sides. There are industrial icons such as Bryant and May and Rosella factories, and the Nylex Clock, side by side with Victorian cottages, modern townhouses, offices and light industries."
"1265","Merrigum","VIC","Merrigum is a town in the Goulburn Valley region of Victoria, Australia. The town is in the City of Greater Shepparton local government area, 197 kilometres (122 mi) north of the state capital, Melbourne. At the 2011 census, Merrigum had a population of 672.[1]"
"1266","Gardenvale","VIC","Gardenvale is a suburb in Melbourne, Victoria, Australia, 10 km (6.2 mi) south-east of Melbourne's central business district. Its local government area is the City of Glen Eira. At the 2011 Census, Gardenvale had a population of 969."
"1267","Lethbridge","VIC","Lethbridge is a rural township outside Geelong, Victoria, Australia. Bluestone from Lethbridge quarries was used to build several significant buildings in Melbourne, including the steps to the Parliament House. At the 2016 census, Lethbridge had a population of 1,014.[1]"
"1268","Rokewood Junction","VIC","Rokewood Junction is a locality in Victoria, Australia in the Golden Plains Shire, 140 kilometres (87 mi) west of the state capital, Melbourne."
"1269","Powelltown","VIC","Powelltown is a town in Victoria, Australia, 70 km east of Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2011 Census, Powelltown had a population of 192."
"1270","Daisy Hill","VIC","Daisy Hill a town in Victoria, Australia located in the Shire of Central Goldfields. The town began as a mining settlement, after a discovery of gold during the Gold Rush of 1853, the location became known as an extremely rich goldfield soon thereafter. Prior to this discovery, Daisy Hill had gained a particular notoriety, due to a gold rush in February 1849, that was based upon the claims made by one Thomas Chapman, a shepherd and former Parkhurst prison exile. Chapman sold a gold nugget to a Melbourne Jeweller, Mr. Brentani of Collins Street. Soon afterwards Chapman left the Port Phillip District for Sydney, although he returned again many years later."
"1271","Drummond","VIC","Drummond is a locality in central Victoria, Australia. The locality is in the Shire of Hepburn, 106 kilometres (66 mi) north west of the state capital, Melbourne."
"1272","Badger Creek","VIC","Badger Creek is a town in Victoria, Australia, 53 km north-east from Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2011 census, Badger Creek had a population of 1,922.[1]"
"1273","Yarck","VIC","Yarck is a town in the upper Goulburn Valley region of Victoria, Australia. The town is in the Shire of Murrindindi and on the Maroondah Highway, 166 kilometres (103 mi) north east of the state capital, Melbourne. At the 2011 census, Yarck and the surrounding area had a population of 548.[1]"
"1274","Lauriston","VIC","Lauriston is a small community in Victoria, Australia. It is situated on the Coliban River, in a gully 8 kilometres (5 mi) west of Kyneton. The Lauriston Reservoir, (which serves Kyneton), is 2 kilometres (1 mi) south east of the town."
"1275","Bushy Park","VIC","Bushy Park is a town in Victoria, Australia, located on Briagolong Road, north of Maffra, in the Shire of Wellington."
"1276","Agnes","VIC","Agnes is a small town in Victoria, Australia. It is located at the junction of the South Gippsland Highway and Barry Road, close to Corner Inlet. Although it used to be thriving, and even had a state school, it now has really nothing more there than a couple of houses and a waterfall."
"1277","Craigie","VIC","Craigie is a locality in central Victoria, Australia. The locality is in the Shire of Central Goldfields, 164 kilometres (102 mi) north west of the state capital, Melbourne."
"1278","Timor","VIC","Timor is a locality in central Victoria, Australia. The locality is in the Shire of Central Goldfields, 11 kilometres (6.8 mi) north of Maryborough and 179 kilometres (111 mi) north west of the state capital, Melbourne."
"1279","Taradale","VIC","Taradale is a small town in Victoria, Australia. It is located on the Calder Highway between Melbourne and Bendigo. Its local government area is the Shire of Mount Alexander. At the 2016 census, Taradale had a population of 448.[1]"
"1280","Three Bridges","VIC","Three Bridges is a bounded rural locality in Victoria, Australia, on the Yarra Junction Noojee Road. Its local government area is the Shire of Yarra Ranges. At the2011 census, Three Bridges had a population of 298.[1]"
"1281","Koorlong","VIC","Koorlong is a locality in Victoria, Australia located approximately 15 km south west of Mildura."
"1282","Natte Yallock","VIC","Natte Yallock is a locality in the Australian state of Victoria. Natte Yallock is located in the Pyrenees Shire local government area, 200 km (or 120 miles) north-west of the state capital, Melbourne, and 90 km (or 56 miles) from the regional cities of Bendigo and Ballarat. At the 2006 census, Natte Yallock and the surrounding area had a population of 188.[1]"
"1283","Shoreham","VIC","Shoreham is a seaside town south of Melbourne, Victoria, Australia in the southern Mornington Peninsula region on the Western Port. Shoreham is situated on the shore of Western Port around the mouth of Stoney Creek. Its local government area is the Shire of Mornington Peninsula. It is a coastal recreation resort rich in artistic history, notable for its pine-covered cliffs, foreshore reserve, and Honeysuckle Beach. At the 2011 census, Shoreham had a population of 434."
"1284","Dixons Creek","VIC","Dixons Creek is a town in Victoria, Australia, 46 km north-east of Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2011 census, Dixons Creek had a population of 336.[1][2]"
"1285","Gordon","VIC","Gordon is a small town in Victoria, Australia, named after settler George Gordon.[2] The town is located on the Old Melbourne Road in the Shire of Moorabool local government area, 95 kilometres (59 mi) west of the state capital, Melbourne. At the 2011 census, Gordon had a population of 1,151.[1]"
"1286","Red Hill","VIC","Red Hill is a small rural community, located in the hinterland of the Mornington Peninsula, about an hour's drive south of Melbourne, in Victoria, Australia. Its local government area is the Shire of Mornington Peninsula. At the 2011 census, Red Hill had a population of 731.[1]"
"1287","Yallourn","VIC","Yallourn, Victoria was a company town in Victoria, Australia built between the 1920s and 1950s to house employees of the State Electricity Commission of Victoria, who operated the nearby Yallourn Power Station complex. However, expansion of the adjacent open-cut brown coal mine led to the closure and removal of the town in the 1980s. Whilst the township no longer exists, at the 2006 census, the adjacent region classified as Yallourn had a population of 251.[1]"
"1288","Merino","VIC","Merino /məˈriːnoʊ/[2] is a town in the Western District of Victoria, Australia. The town is located in the Shire of Glenelg local government area, 363 kilometres west of the state capital, Melbourne. At the 2011 census, Merino had a population of 364.[1]"
"1289","Barkers Creek","VIC","Barkers Creek is a locality in central Victoria, Australia. The locality is in the Shire of Mount Alexander, 125 kilometres (78 mi) north west of the state capital, Melbourne."
"1290","Waanyarra","VIC","Waanyarra is a locality in north central Victoria, Australia. The locality is in the Shire of Loddon, 178 kilometres (111 mi) north west of the state capital, Melbourne."
"1291","Faraday","VIC","Faraday is a locality situated on the Calder Highway, 116 kilometres (72 mi) north west of Melbourne in Victoria, Australia."
"1292","Haven","VIC","Haven is a town in the Wimmera region of Victoria, Australia about 5 km from Horsham. At the 2006 census, it had a population of 943.[1]"
"1293","Pastoria East","VIC","Pastoria East is a locality in Victoria, Australia, made up after the Shire of Kyneton merged with the Shires of Gisborne, Newham and Woodend, and Romsey to make up the Shire of Macedon Ranges."
"1294","Maroona","VIC","Maroona is a town in the north west region of Victoria, Australia. It is approximately 229 kilometres (142 mi) west of the state's capital, Melbourne. Maroona is part of the statistical area of Tatyoon which at the 2016 Census, had a population of 110.[1]"
"1295","Rythdale","VIC","Rythdale is a bounded rural locality in Victoria, Australia, 57 kilometres (35 mi) south-east of Melbourne's Central Business District, located within the Shire of Cardinia local government area. Rythdale recorded a population of 38 at the 2016 Census."
"1296","Bulla","VIC","Bulla is a locality and township of Melbourne, Victoria, Australia, 29 kilometres (18 mi) north-west from Melbourne's central business district. Its local government area is the City of Hume. At the 2016 Census, Bulla had a population of 675, and is adjacent to the Melbourne metropolitan area."
"1297","Murrindindi","VIC","Murrindindi is a locality along the valley of the Murrundindi River in Victoria, in eastern Australia in the Murrindindi local government area. The nearest town is Yea."
"1298","Glenlyon","VIC","Glenlyon is a small village in the Shire of Hepburn local government area, Victoria, Australia around 12 km from Daylesford along the Daylesford - Malmsbury Road, and around 101 km from the Melbourne CBD via Kyneton and Malmsbury."
"1299","Separation Creek","VIC","Separation Creek is a small coastal locality in the Shire of Colac Otway, Victoria, Australia.[2] In the 2016 census, Separation Creek had a population of 19.[1]"
"1300","Vaughan","VIC","Vaughan, is a small village in the Shire of Mount Alexander in the state of Victoria, Australia south of Castlemaine and east of Guildford. Vaughan is situated on the Loddon River which has the Lawson spring, a drinkable mineral water spring."
"1301","Humevale","VIC","Humevale is a rural locality in Victoria, Australia between Whittlesea and Kinglake West, about 40 kilometres (25 mi) north-north-east of Melbourne, within the City of Whittlesea. At the 2016 Census, Humevale had a population of 307."
"1302","Lal Lal","VIC","Lal Lal is a town in Victoria (Australia), Australia. The town is located in the Shire of Moorabool and on the Geelong-Ballarat railway line, 108 kilometres (67 mi) west of the state capital, Melbourne. At the 2016 census, Lal Lal and the surrounding area had a population of 476.[1]"
"1303","Smythesdale","VIC","Smythesdale is a town in Victoria, Australia. The town is located on the Glenelg Highway. Most of the town is located in the Golden Plains Shire local government area; however, a small section lies in the Shire of Pyrenees. Smythesdale is 19 kilometres (12 mi) west of Ballarat and 135 kilometres (84 mi) west of the state capital, Melbourne. At the 2016 census, Smythesdale and the surrounding area had a population of 1,032.[1]"
"1304","Walwa","VIC","Walwa (/ˈwɒlwə/; Aboriginal for ""a place of waters""), is a town in the Shire of Towong in north east Victoria, Australia. The town is located 1 kilometre from the Murray River on the former Murray Valley highway between Wodonga and Corryong. At the 2006 census, Walwa and the surrounding area had a population of 268.[1]"
"1305","Newlyn","VIC","Newlyn, Victoria is a town in Shire of Hepburn, west-central Victoria, Australia. It is located 27 kilometres (17 mi) northeast of Ballarat and 124 kilometres (77 mi) northwest of Melbourne. It is 452 metres above sea level."
"1306","Metcalfe","VIC","Metcalfe is a locality in central Victoria, Australia. The name 'Metcalfe' probably derives from Baron (Charles) Metcalfe, Governor-General of India and later of Canada, who died in 1846. Metcalfe lies on the Coliban River, downstream from the Malmsbury reservoir."
"1307","Buangor","VIC","Buangor is a town in western Victoria. It is about 181 kilometres (112 mi) west of the state capital, Melbourne. At the 2016 census, Buangor had a population of 103.[1]"
